Subject,Trial Number,Type of Action,Object Type,GestureCondition,Word Order,Exclude,Spatial Cue,Randomizer,Randomizer Set,Clipped Movie File,Event,Word Order.Recode,Exclude.Recode,Spatial Cue.Recode,Used ASL,"""Embodied"" in some way",Comments,Spatial.Cue.Katy
1,5,Transitive,Object,Case,OSV,,1,0.591710571,4,Spatial_Clipped_031,Boy kicks ball,OSV,,1,,,,NA
1,6,Transitive,Object,Case,OSV,,1,0.591710571,4,Spatial_Clipped_031,Girl pushes car,SOV,,1,,,,NA
1,7,Intransitive,None,Case,SV,,0,0.591710571,4,Spatial_Clipped_031,Old lady jumps,SV,,0,A,,,NA
1,8,Transitive,Person,Case,SOV,,1,0.591710571,4,Spatial_Clipped_031,Fireman pushes boy,SOV,,1,,,,NA
1,9,Transitive,Object,Case,OSV,,1,0.781368996,4,Spatial_Clipped_032,Old lady elbows ball,OSV,,1,,,,NA
1,10,Intransitive,None,Case,SV,,0,0.781368996,4,Spatial_Clipped_032,Car tumbles,SV,,0,,,,NA
1,11,Transitive,Object,Case,SOV,,1,0.781368996,4,Spatial_Clipped_032,Girl rubs heart,SOV,,1,,,,NA
1,12,Transitive,Person,Case,SOV,,1,0.781368996,4,Spatial_Clipped_032,Boy lifts girl,SOV,,1,,,,NA
1,13,Transitive,Object,Case,OSV,,1,0.348689932,4,Spatial_Clipped_033,Fireman throws star,OSV,,1,,,,NA
1,14,Intransitive,None,Case,SV,,0,0.348689932,4,Spatial_Clipped_033,Ball rolls,SV,,0,,,,NA
1,15,Transitive,Person,Case,SOV,,1,0.348689932,4,Spatial_Clipped_033,Girl elbows old lady,SOV,,1,A,,,NA
1,16,Intransitive,None,Case,SV,,0,0.348689932,4,Spatial_Clipped_033,Boy skates,SV,,0,A,,,NA
1,17,Transitive,Person,Case,OSV,,1,0.148777825,4,Spatial_Clipped_034,Fireman kicks girl,OSV,,1,A,,,NA
1,18,Transitive,Object,Case,SOV,,1,0.148777825,4,Spatial_Clipped_034,Old lady kisses star,SOV,,1,A,,,NA
1,19,Transitive,Person,Case,OSV,,1,0.148777825,4,Spatial_Clipped_034,Old lady rubs fireman,OSV,,1,A,,,NA
1,20,Transitive,Person,Case,SOV,,1,0.148777825,4,Spatial_Clipped_034,Girl throws old lady,SOV,,1,A,,,NA
1,21,Intransitive,None,Case,SV,,0,0.127233162,4,Spatial_Clipped_035,Star jumps,SV,,0,,,,NA
1,22,Intransitive,None,Case,SV,,0,0.127233162,4,Spatial_Clipped_035,Fireman falls,SV,,0,,,,NA
1,23,Intransitive,None,Case,SV,,0,0.127233162,4,Spatial_Clipped_035,Heart falls,SV,,0,,,,NA
1,24,Transitive,Object,Case,OSV,,1,0.127233162,4,Spatial_Clipped_035,Boy pokes heart,OSV,,1,A,,,NA
1,25,Transitive,Object,Case,OSV,,1,0.320438757,4,Spatial_Clipped_036,Fireman lifts car,OSV,,1,,,,NA
1,26,Transitive,Person,Case,SOV,,1,0.320438757,4,Spatial_Clipped_036,Old lady pokes fireman,SOV,,1,A,,,NA
1,27,Intransitive,None,Case,SV,,0,0.320438757,4,Spatial_Clipped_036,Girl tumbles,SV,,0,A,,,NA
