Subject,Sex,Age,Monolingual?,Sign Language?,Trial Number,Type of Action,Event,Trial Type,Word Order,Patient_Present,P_before_A,Exclude,Object Type,Spatial Cue
1,F,,,,2,Intransitive,Star moves in circle,Verbal,SV,0,0,,None,
1,,,,,3,Transitive,Old lady waves heart,Verbal,SVO,1,0,,Object,
1,,,,,5,Transitive,Boy kicks ball,Verbal,SVO,1,0,,Object,
1,,,,,6,Transitive,Girl pushes car,Verbal,SVO,1,0,,Object,
1,,,,,7,Intransitive,Old lady jumps,Verbal,SV,0,0,,None,
1,,,,,8,Transitive,Fireman pushes boy,Verbal,SVO,1,0,,Person,
1,,,,,9,Transitive,Old lady elbows ball,Verbal,SVO,1,0,,Object,
1,,,,,10,Intransitive,Car tumbles,Verbal,SV,0,0,,None,
1,,,,,11,Transitive,Girl rubs heart,Verbal,SVO,1,0,,Object,
1,,,,,12,Transitive,Boy lifts girl,Verbal,SVO,1,0,,Person,
1,,,,,13,Transitive,Fireman throws star,Verbal,SVO,1,0,,Object,
1,,,,,14,Intransitive,Ball rolls,Verbal,SV,0,0,,None,
1,,,,,15,Transitive,Girl elbows old lady,Verbal,SVO,1,0,,Person,
1,,,,,16,Intransitive,Boy skates,Verbal,SV,0,0,,None,
1,,,,,17,Transitive,Fireman kicks girl,Verbal,SVO,1,0,,Person,
1,,,,,18,Transitive,Old lady kisses star,Verbal,SVO,1,0,,Object,
1,,,,,19,Transitive,Old lady rubs fireman,Verbal,SVO,1,0,,Person,
1,,,,,20,Transitive,Girl throws old lady,Verbal,SVO,1,0,,Person,
1,,,,,21,Intransitive,Star jumps,Verbal,SV,0,0,,None,
1,,,,,22,Intransitive,Fireman falls,Verbal,SV,0,0,,None,
1,,,,,23,Intransitive,Heart falls,Verbal,SV,0,0,,None,
1,,,,,24,Transitive,Boy pokes heart,Verbal,SVO,1,0,,Object,
1,,,,,25,Transitive,Fireman lifts car,Verbal,SVO,1,0,,Object,
1,,,,,26,Transitive,Old lady pokes fireman,Verbal,SVO,1,0,,Person,
1,,,,,27,Intransitive,Girl tumbles,Verbal,SV,0,0,,None,
1,,,,,28,Transitive,Girl kisses boy,Verbal,SVO,1,0,,Person,
1,,,,,2,Intransitive,Star moves in circle,Gesture,SV,0,,,None,
1,,,,,3,Transitive,Old lady waves heart,Gesture,SOV,1,1,,Object,1
1,,,,,5,Transitive,Boy kicks ball,Gesture,SVOV,1,,1,Object,
1,,,,,6,Transitive,Girl pushes car,Gesture,SVO,1,,,Object,
1,,,,,7,Intransitive,Old lady jumps,Gesture,SV,0,,,None,
1,,,,,8,Transitive,Fireman pushes boy,Gesture,SVO,1,,,Person,
1,,,,,9,Transitive,Old lady elbows ball,Gesture,SOV,1,1,,Object,
1,,,,,10,Intransitive,Car tumbles,Gesture,SV,0,,,None,
1,,,,,11,Transitive,Girl rubs heart,Gesture,SOV,1,1,,Object,1
1,,,,,12,Transitive,Boy lifts girl,Gesture,V,1,,1,Person,
1,,,,,13,Transitive,Fireman throws star,Gesture,OV,1,1,,Object,1
1,,,,,14,Intransitive,Ball rolls,Gesture,SV,0,,,None,
