HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.Comments,Answer.English,Answer.country,Answer.payCode,VideoProblem
2A30XULRGNTBQ8OJ12WFU7N7S7I5R5,2CDI62NJQ21794B6EMXBPLCVFJ4NV5,Multitasking Memory Test - Learn some gesture symbols and remember sequences.  Test your memory!,Part 1: Learn a set of 20 gesture symbols. Part 2: Memory Test - Remember sequences of words and gestures,"survey, study, research, math, language",$5.00 ,Sun Feb 23 13:34:48 GMT 2014,20,BatchId:1428474;,9600,604800,Sun Mar 02 13:34:48 GMT 2014,,,23YS8SV7WGKCJ0NIRH138MHDR30Q0R,A37YWHX6K90164,Approved,Sun Feb 23 14:04:42 GMT 2014,Sun Feb 23 15:54:52 GMT 2014,Sun Mar 02 07:54:52 PST 2014,Tue Feb 25 07:36:58 PST 2014,,,6610,100% (1/1),100% (1/1),100% (1/1),,yes,USA,j32b12f01fi89,FALSE
2A30XULRGNTBQ8OJ12WFU7N7S7I5R5,2CDI62NJQ21794B6EMXBPLCVFJ4NV5,Multitasking Memory Test - Learn some gesture symbols and remember sequences.  Test your memory!,Part 1: Learn a set of 20 gesture symbols. Part 2: Memory Test - Remember sequences of words and gestures,"survey, study, research, math, language",$5.00 ,Sun Feb 23 13:34:48 GMT 2014,20,BatchId:1428474;,9600,604800,Sun Mar 02 13:34:48 GMT 2014,,,25CI62NJQ21794B6EMXBPLCYGOPNVS,A30GHH1GE23Q8W,Approved,Sun Feb 23 13:43:17 GMT 2014,Sun Feb 23 15:13:44 GMT 2014,Sun Mar 02 07:13:44 PST 2014,Tue Feb 25 07:37:00 PST 2014,,,5427,100% (1/1),100% (1/1),100% (1/1),,yes,USA,d3dd35b445j73,FALSE
2A30XULRGNTBQ8OJ12WFU7N7S7I5R5,2CDI62NJQ21794B6EMXBPLCVFJ4NV5,Multitasking Memory Test - Learn some gesture symbols and remember sequences.  Test your memory!,Part 1: Learn a set of 20 gesture symbols. Part 2: Memory Test - Remember sequences of words and gestures,"survey, study, research, math, language",$5.00 ,Sun Feb 23 13:34:48 GMT 2014,20,BatchId:1428474;,9600,604800,Sun Mar 02 13:34:48 GMT 2014,,,25H3TVOK5UFJC604EJFZKYQV3PN47M,A2OCP3UDPBH0ME,Approved,Sun Feb 23 13:36:52 GMT 2014,Sun Feb 23 15:07:22 GMT 2014,Sun Mar 02 07:07:22 PST 2014,Tue Feb 25 07:36:59 PST 2014,,,5430,100% (5/5),100% (2/2),100% (1/1),,yes,USA,d2f091309ch57,FALSE
2A30XULRGNTBQ8OJ12WFU7N7S7I5R5,2CDI62NJQ21794B6EMXBPLCVFJ4NV5,Multitasking Memory Test - Learn some gesture symbols and remember sequences.  Test your memory!,Part 1: Learn a set of 20 gesture symbols. Part 2: Memory Test - Remember sequences of words and gestures,"survey, study, research, math, language",$5.00 ,Sun Feb 23 13:34:48 GMT 2014,20,BatchId:1428474;,9600,604800,Sun Mar 02 13:34:48 GMT 2014,,,27P2Q45UUKQO5LPFK6ESDOG33D1UCR,AXHZNM1REBZAL,Approved,Sun Feb 23 13:38:59 GMT 2014,Sun Feb 23 14:54:04 GMT 2014,Sun Mar 02 06:54:04 PST 2014,Tue Feb 25 07:36:59 PST 2014,,,4505,100% (1/1),100% (1/1),100% (1/1),"This study was fun and challenging. I found that if I delayed answering a question for longer than one second, I was likely to make a mistake.",yes,USA,e352272f37d63,FALSE
2A30XULRGNTBQ8OJ12WFU7N7S7I5R5,2CDI62NJQ21794B6EMXBPLCVFJ4NV5,Multitasking Memory Test - Learn some gesture symbols and remember sequences.  Test your memory!,Part 1: Learn a set of 20 gesture symbols. Part 2: Memory Test - Remember sequences of words and gestures,"survey, study, research, math, language",$5.00 ,Sun Feb 23 13:34:48 GMT 2014,20,BatchId:1428474;,9600,604800,Sun Mar 02 13:34:48 GMT 2014,,,2BP3V0FK0COK9OGYACGKP9LUYJIOHH,AGJ6958FU8A4N,Approved,Sun Feb 23 13:36:29 GMT 2014,Sun Feb 23 15:48:30 GMT 2014,Sun Mar 02 07:48:30 PST 2014,Tue Feb 25 07:37:00 PST 2014,,,7921,100% (4/4),100% (2/2),100% (1/1),,yes,USA,g35f817b6fb83,FALSE
2A30XULRGNTBQ8OJ12WFU7N7S7I5R5,2CDI62NJQ21794B6EMXBPLCVFJ4NV5,Multitasking Memory Test - Learn some gesture symbols and remember sequences.  Test your memory!,Part 1: Learn a set of 20 gesture symbols. Part 2: Memory Test - Remember sequences of words and gestures,"survey, study, research, math, language",$5.00 ,Sun Feb 23 13:34:48 GMT 2014,20,BatchId:1428474;,9600,604800,Sun Mar 02 13:34:48 GMT 2014,,,2E6GDHDM25L8PEPWKB8E46OH64COEP,A1IV8V08K6S98Y,Approved,Sun Feb 23 17:21:47 GMT 2014,Sun Feb 23 18:52:15 GMT 2014,Sun Mar 02 10:52:15 PST 2014,Tue Feb 25 07:37:00 PST 2014,,,5428,100% (17/17),100% (1/1),100% (1/1),,yes,USA,i11a812f4aj114,FALSE
2A30XULRGNTBQ8OJ12WFU7N7S7I5R5,2CDI62NJQ21794B6EMXBPLCVFJ4NV5,Multitasking Memory Test - Learn some gesture symbols and remember sequences.  Test your memory!,Part 1: Learn a set of 20 gesture symbols. Part 2: Memory Test - Remember sequences of words and gestures,"survey, study, research, math, language",$5.00 ,Sun Feb 23 13:34:48 GMT 2014,20,BatchId:1428474;,9600,604800,Sun Mar 02 13:34:48 GMT 2014,,,2EXUUKQOYGNI36PPWT70607VXT6YG5,A3APSDB02MI0VV,Approved,Sun Feb 23 14:04:31 GMT 2014,Sun Feb 23 15:54:27 GMT 2014,Sun Mar 02 07:54:27 PST 2014,Tue Feb 25 07:36:58 PST 2014,,,6596,100% (2/2),100% (1/1),100% (1/1),,yes,USA,j32b12f01fi89,FALSE
2A30XULRGNTBQ8OJ12WFU7N7S7I5R5,2CDI62NJQ21794B6EMXBPLCVFJ4NV5,Multitasking Memory Test - Learn some gesture symbols and remember sequences.  Test your memory!,Part 1: Learn a set of 20 gesture symbols. Part 2: Memory Test - Remember sequences of words and gestures,"survey, study, research, math, language",$5.00 ,Sun Feb 23 13:34:48 GMT 2014,20,BatchId:1428474;,9600,604800,Sun Mar 02 13:34:48 GMT 2014,,,2FFQYN5F3Q0JNAVVAS3W3B4CHNUAEY,A20JA64BT9D6FR,Approved,Sun Feb 23 14:55:36 GMT 2014,Sun Feb 23 16:57:09 GMT 2014,Sun Mar 02 08:57:09 PST 2014,Tue Feb 25 07:36:58 PST 2014,,,7293,100% (5/5),100% (2/2),100% (1/1),Survey lasted forever! My brain hurts.,yes,USA,j3cdb608dee108,FALSE
2A30XULRGNTBQ8OJ12WFU7N7S7I5R5,2CDI62NJQ21794B6EMXBPLCVFJ4NV5,Multitasking Memory Test - Learn some gesture symbols and remember sequences.  Test your memory!,Part 1: Learn a set of 20 gesture symbols. Part 2: Memory Test - Remember sequences of words and gestures,"survey, study, research, math, language",$5.00 ,Sun Feb 23 13:34:48 GMT 2014,20,BatchId:1428474;,9600,604800,Sun Mar 02 13:34:48 GMT 2014,,,2IKV7WGKCCVLS8E7R8DHFPQ7EMKT34,A2L3KETHMA3M9C,Approved,Sun Feb 23 14:02:50 GMT 2014,Sun Feb 23 15:27:43 GMT 2014,Sun Mar 02 07:27:43 PST 2014,Tue Feb 25 07:36:59 PST 2014,,,5093,100% (1/1),100% (1/1),100% (1/1),"It was kind of confusing because the two women gestured the ""star"" differently",yes,USA,c226a384aea87,FALSE
2A30XULRGNTBQ8OJ12WFU7N7S7I5R5,2CDI62NJQ21794B6EMXBPLCVFJ4NV5,Multitasking Memory Test - Learn some gesture symbols and remember sequences.  Test your memory!,Part 1: Learn a set of 20 gesture symbols. Part 2: Memory Test - Remember sequences of words and gestures,"survey, study, research, math, language",$5.00 ,Sun Feb 23 13:34:48 GMT 2014,20,BatchId:1428474;,9600,604800,Sun Mar 02 13:34:48 GMT 2014,,,2JR6KW4ZMAZHOWTI3VROSNVUJFX8HJ,A1FI50UYJVX3OF,Approved,Sun Feb 23 16:56:24 GMT 2014,Sun Feb 23 18:44:40 GMT 2014,Sun Mar 02 10:44:40 PST 2014,Tue Feb 25 07:36:59 PST 2014,,,6496,100% (2/2),100% (2/2),100% (1/1),,yes,USA,h3c570cfefg110,FALSE
2A30XULRGNTBQ8OJ12WFU7N7S7I5R5,2CDI62NJQ21794B6EMXBPLCVFJ4NV5,Multitasking Memory Test - Learn some gesture symbols and remember sequences.  Test your memory!,Part 1: Learn a set of 20 gesture symbols. Part 2: Memory Test - Remember sequences of words and gestures,"survey, study, research, math, language",$5.00 ,Sun Feb 23 13:34:48 GMT 2014,20,BatchId:1428474;,9600,604800,Sun Mar 02 13:34:48 GMT 2014,,,2JRJMJUNU8LZDW9X4AI9DD8M58C1HB,A1DFE96JYWVH49,Approved,Sun Feb 23 14:07:30 GMT 2014,Sun Feb 23 16:12:40 GMT 2014,Sun Mar 02 08:12:40 PST 2014,Tue Feb 25 07:36:59 PST 2014,,,7510,100% (1/1),100% (1/1),100% (1/1),,yes,USA,a3e5591459g92,FALSE
2A30XULRGNTBQ8OJ12WFU7N7S7I5R5,2CDI62NJQ21794B6EMXBPLCVFJ4NV5,Multitasking Memory Test - Learn some gesture symbols and remember sequences.  Test your memory!,Part 1: Learn a set of 20 gesture symbols. Part 2: Memory Test - Remember sequences of words and gestures,"survey, study, research, math, language",$5.00 ,Sun Feb 23 13:34:48 GMT 2014,20,BatchId:1428474;,9600,604800,Sun Mar 02 13:34:48 GMT 2014,,,2MKTMOFXRDS4PH3BMIEXOFM43NYSVA,AOIK8K4X34LGR,Approved,Sun Feb 23 14:04:05 GMT 2014,Sun Feb 23 15:25:11 GMT 2014,Sun Mar 02 07:25:11 PST 2014,Tue Feb 25 07:36:58 PST 2014,,,4866,100% (4/4),100% (2/2),100% (1/1),,yes,USA,j1130c2f04j88,FALSE
