"","Subject","GestureCondition","Trial.Number","Clipped.Movie.File","Event","Eun.Last3","Mig.Last3","Initial.Coder","Blind.Coder"
"2",1,"Case",6,"Spatial_Clipped_031","Girl pushes car","OSV","SOV","Eunice","Miguel"
"35",1,"Free",15,"Spatial_Clipped_027","Girl elbows old lady","OVS","SVO","Eunice","Miguel"
"98",3,"Case",6,"Spatial_Clipped_055","Girl pushes car","OSV","SOV","Eunice","Miguel"
"110",3,"Case",18,"Spatial_Clipped_058","Old lady kisses star","OSV","SOV","Eunice","Miguel"
"120",3,"Case",28,"Spatial_Clipped_060","Girl kisses boy","OSV","SOV","Eunice","Miguel"
"124",3,"Free",8,"Spatial_Clipped_049","Fireman pushes boy","OSV","SOV","Eunice","Miguel"
"133",3,"Free",17,"Spatial_Clipped_052","Fireman kicks girl","OSV","SOV","Eunice","Miguel"
"134",3,"Free",18,"Spatial_Clipped_052","Old lady kisses star","SOV","OSV","Eunice","Miguel"
"135",3,"Free",19,"Spatial_Clipped_052","Old lady rubs fireman","OSV","OVO","Eunice","Miguel"
"140",3,"Free",24,"Spatial_Clipped_053","Boy pokes heart","OSV","SOV","Eunice","Miguel"
"172",4,"Free",8,"Spatial_Clipped_061","Fireman lifts car","O","VO","Eunice","Miguel"
"189",4,"Free",25,"Spatial_Clipped_066","Fireman pushes boy","SOV","OSV","Eunice","Miguel"
"194",5,"Case",6,"Spatial_Clipped_079","Girl pushes car","VSO","SOV","Eunice","Miguel"
"289",7,"Case",5,"Spatial_Clipped_103","Girl kisses boy","SOV","OSV","Eunice","Miguel"
"337",8,"Case",5,"Spatial_Clipped_115","Boy kicks ball","SOV","OSV","Eunice","Miguel"
"362",8,"Free",6,"Spatial_Clipped_109","Girl pushes car","SV","OV","Eunice","Miguel"
"392",21,"Case",12,"Spatial_Clipped_008","Boy lifts girl","SOV","SVO","Caitlin","Miguel"
"393",21,"Case",13,"Spatial_Clipped_009","Fireman throws star","VOV","SVO","Caitlin","Miguel"
"395",21,"Case",15,"Spatial_Clipped_009","Girl elbows old lady","VOV","SVO","Caitlin","Miguel"
"400",21,"Case",20,"Spatial_Clipped_010","Girl throws old lady","VOV","SVO","Caitlin","Miguel"
"405",21,"Case",25,"Spatial_Clipped_012","Fireman lifts car","SVO","SOV","Caitlin","Miguel"
"436",22,"Case",8,"Spatial_Clipped_019","Fireman pushes boy","SV","SOV","Eunice","Miguel"
"437",22,"Case",9,"Spatial_Clipped_020","Old lady elbows ball","SOV","SVO","Eunice","Miguel"
"439",22,"Case",11,"Spatial_Clipped_020","Girl rubs heart","SOV","SVO","Eunice","Miguel"
"440",22,"Case",12,"Spatial_Clipped_020","Boy lifts girl","SVO","SOV","Eunice","Miguel"
"441",22,"Case",13,"Spatial_Clipped_021","Fireman throws star","SOV","SVO","Eunice","Miguel"
"443",22,"Case",15,"Spatial_Clipped_021","Girl elbows old lady","","SOV","Eunice","Miguel"
"445",22,"Case",17,"Spatial_Clipped_022","Fireman kicks girl","","SOV","Eunice","Miguel"
"446",22,"Case",18,"Spatial_Clipped_022","Old lady kisses star","SOV","SVO","Eunice","Miguel"
